"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 09 08:37:25 GMT 2024","Tue Apr 09 08:37:25 GMT 2024","122","tests.backend","test_create_project","TestCreateProject","","","Проверка невозможности создания проекта невалидными ролями","Тест проверяет, что проект не создан невалидными ролями и что его нет в общем списке проектов."
"passed","Tue Apr 09 08:37:24 GMT 2024","Tue Apr 09 08:37:24 GMT 2024","175","tests.backend","test_create_project","TestCreateProject","","","Проверка успешного создания проекта разными ролями","Тест проверяет успешное создание нового проекта доступными ролями"
"passed","Tue Apr 09 08:37:26 GMT 2024","Tue Apr 09 08:37:26 GMT 2024","34","tests.backend","test_create_project","TestCreateProject","","","Проверка невозможности создания проекта без тела запроса","Тест проверяет, что проект не создан при отправке запроса без тела"
"passed","Tue Apr 09 08:35:33 GMT 2024","Tue Apr 09 08:37:08 GMT 2024","94957","tests.frontend","test_setup","","","","Сетап Teamcity перед всеми тестами",""
"passed","Tue Apr 09 08:37:24 GMT 2024","Tue Apr 09 08:37:24 GMT 2024","152","tests.backend","test_create_project","TestCreateProject","","","Проверка успешного создания проекта разными ролями","Тест проверяет успешное создание нового проекта доступными ролями"
"passed","Tue Apr 09 08:37:25 GMT 2024","Tue Apr 09 08:37:25 GMT 2024","99","tests.backend","test_create_project","TestCreateProject","","","Проверка невозможности создания проекта с существующим именем","Тест проверяет, что проект не может быть создан с уже существующим именем"
"passed","Tue Apr 09 08:37:25 GMT 2024","Tue Apr 09 08:37:25 GMT 2024","52","tests.backend","test_create_project","TestCreateProject","","","Проверка невозможности создания проекта без имени","Тест проверяет, что проект не создан и что его нет в общем списке проектов."
"passed","Tue Apr 09 08:37:25 GMT 2024","Tue Apr 09 08:37:25 GMT 2024","85","tests.backend","test_create_project","TestCreateProject","","","Проверка создания проекта только с именем","Тест проверяет создание нового проекта, если передать только имя"
"passed","Tue Apr 09 08:37:23 GMT 2024","Tue Apr 09 08:37:23 GMT 2024","135","tests.backend","test_create_build_config","TestBuildConfig","","","Проверка создания билд-конфигурации только с обязательными параметрами (имя и id проекта)","Тест проверяет создание новой билд-конфигурации только с именем и id проекта с теле запроса"
"passed","Tue Apr 09 08:37:24 GMT 2024","Tue Apr 09 08:37:24 GMT 2024","152","tests.backend","test_create_project","TestCreateProject","","","Проверка успешного создания проекта разными ролями","Тест проверяет успешное создание нового проекта доступными ролями"
"passed","Tue Apr 09 08:37:26 GMT 2024","Tue Apr 09 08:37:28 GMT 2024","2599","tests.backend","test_run_build","TestBuildRun","","","Проверка запуска билда","Тест проверяет запуск билда и его статус билд конфигурации после запуска"
"passed","Tue Apr 09 08:37:25 GMT 2024","Tue Apr 09 08:37:25 GMT 2024","114","tests.backend","test_create_project","TestCreateProject","","","Проверка невозможности создания проекта невалидными ролями","Тест проверяет, что проект не создан невалидными ролями и что его нет в общем списке проектов."
"passed","Tue Apr 09 08:37:23 GMT 2024","Tue Apr 09 08:37:24 GMT 2024","67","tests.backend","test_create_build_config","TestBuildConfig","","","Проверка невозможности создания билд-конфигурации без обязательны полей (id проекта или имени)","Тест проверяет, что билд-конфигурация не создана без id проекта или имени"
"passed","Tue Apr 09 08:37:23 GMT 2024","Tue Apr 09 08:37:23 GMT 2024","78","tests.backend","test_create_build_config","TestBuildConfig","","","Проверка невозможности создания билд-конфигурации без обязательны полей (id проекта или имени)","Тест проверяет, что билд-конфигурация не создана без id проекта или имени"
"passed","Tue Apr 09 08:37:22 GMT 2024","Tue Apr 09 08:37:23 GMT 2024","658","tests.backend","test_create_build_config","TestBuildConfig","","","Проверка успешного создания билд-конфигурации","Тест проверяет успешное создание новой билд-конфигурации"
